Sales,CompPrice,Income,Advertising,Population,Price,ShelveLoc,Age,Education,Urban,US
8.19,127,103,0,125,155,Good,29,15,No,Yes
5.3,113,22,0,57,97,Medium,65,16,No,No
10.62,116,79,19,359,116,Good,58,17,Yes,Yes
5.08,128,46,6,497,138,Medium,42,13,Yes,No
10.07,130,100,11,449,107,Medium,64,10,Yes,Yes
6.67,156,42,13,170,173,Good,74,14,Yes,Yes
5.86,136,70,12,171,152,Medium,44,18,Yes,Yes
8.77,144,63,11,27,117,Medium,47,17,Yes,Yes
4.83,115,115,3,48,107,Medium,73,18,Yes,Yes
8.85,127,92,0,508,91,Medium,56,18,Yes,No
7.82,124,25,13,87,110,Medium,57,10,Yes,Yes
5.99,117,42,10,371,121,Bad,26,14,Yes,Yes
3.47,107,79,2,488,103,Bad,65,16,Yes,No
6.89,129,69,10,289,110,Medium,50,16,No,Yes
12.66,148,76,3,126,99,Good,60,11,Yes,Yes
8.67,125,62,14,477,112,Medium,80,13,Yes,Yes
4.43,134,48,1,139,145,Medium,65,12,Yes,Yes
5.17,131,75,0,10,120,Bad,31,18,No,No
6.52,128,42,0,436,118,Medium,80,11,Yes,No
7.77,116,26,6,434,115,Medium,25,17,Yes,Yes
2.05,131,82,0,132,157,Bad,25,14,Yes,No
5.01,159,69,0,438,166,Medium,46,17,Yes,No
5.81,125,111,0,404,107,Bad,54,15,Yes,No
7.74,150,96,0,80,154,Good,61,11,Yes,No
10.21,121,58,8,249,90,Medium,48,13,No,Yes
7.8,100,67,12,184,104,Medium,32,16,No,Yes
6.98,116,40,0,74,97,Medium,76,15,No,No
3.15,117,66,1,65,111,Bad,55,11,Yes,Yes
8.74,155,80,0,237,124,Medium,37,14,Yes,No
5.07,123,91,0,334,96,Bad,78,17,Yes,Yes
4.94,137,112,15,434,149,Bad,66,13,Yes,Yes
7.81,137,102,13,422,118,Medium,71,10,No,Yes
4.96,133,100,3,350,126,Bad,55,13,Yes,Yes
8.64,111,101,17,266,91,Medium,63,17,No,Yes
9.58,108,104,23,353,129,Good,37,17,Yes,Yes
2.66,136,65,4,133,150,Bad,53,13,Yes,Yes
4.9,122,26,0,197,128,Medium,55,13,No,No
5.4,149,73,13,381,163,Bad,26,11,No,Yes
4.17,123,96,10,71,118,Bad,69,11,Yes,Yes
4.38,126,98,0,173,108,Bad,55,16,Yes,No
