carat,cut,color,clarity,depth,table,price,x,y,z
0.42,Premium,E,SI1,61.5,61,926,4.87,4.82,2.98
0.7,Premium,F,VVS2,62.2,56,3018,5.72,5.63,3.53
0.7,Fair,E,SI2,65.3,56,1998,5.57,5.54,3.63
0.3,Premium,G,VVS2,60.8,58,684,4.34,4.38,2.65
1.08,Ideal,D,SI1,61.3,56,6203,6.63,6.72,4.09
1.36,Very Good,H,SI2,61.5,58,6279,7.09,7.16,4.38
0.73,Ideal,G,VVS2,62.1,56,3396,5.78,5.81,3.59
0.31,Premium,E,SI1,59.3,59,698,4.48,4.42,2.64
0.43,Premium,F,VVS2,61.6,60,1250,4.86,4.82,2.98
0.4,Good,I,SI1,63.9,57,596,4.66,4.7,2.99
1.5,Good,H,SI1,57.9,62,9324,7.55,7.48,4.35
0.42,Good,G,SI1,63.1,56,687,4.75,4.79,3.01
0.38,Ideal,I,SI1,61.6,57,626,4.62,4.66,2.86
0.56,Premium,E,VS1,60.1,61,1882,5.38,5.31,3.21
0.92,Very Good,D,SI1,60.7,58,4253,6.27,6.39,3.84
1.71,Good,I,SI1,63.2,57,9881,7.49,7.53,4.75
0.37,Ideal,E,VS2,62.6,56,1041,4.61,4.56,2.87
1.02,Premium,H,SI1,60.5,60,4884,6.58,6.51,3.96
1.5,Fair,E,SI2,66.3,60,10080,7.09,7.02,4.68
0.3,Ideal,D,VS1,61.6,54,718,4.34,4.36,2.68
0.5,Good,G,SI2,62.3,64,1121,5.1,5.02,3.15
0.86,Fair,E,SI2,55.1,69,2757,6.45,6.33,3.52
0.54,Ideal,D,VS2,61.8,57,1993,5.26,5.22,3.24
0.9,Good,D,SI2,63.9,60,3153,6.07,6.11,3.89
0.41,Fair,E,SI2,64.7,55,818,4.7,4.67,3.03
0.7,Premium,D,VS1,61,59,3501,5.79,5.72,3.51
0.78,Premium,E,VS1,62.2,58,3538,5.9,5.86,3.66
0.37,Premium,F,VS2,59.8,59,746,4.63,4.66,2.78
0.33,Premium,E,VVS2,60.3,58,1114,4.49,4.47,2.7
2.01,Fair,H,SI2,65.3,56,10772,7.95,7.86,5.16
0.52,Good,D,SI1,63.9,58,1605,5.12,5.08,3.26
0.72,Ideal,E,SI1,62.3,57,2831,5.7,5.76,3.57
0.41,Premium,G,SI1,62.8,58,861,4.74,4.72,2.97
0.81,Ideal,D,SI1,61.9,57,3353,6.01,5.97,3.71
1.21,Premium,H,SI2,58.8,60,6098,6.99,6.95,4.1
1.13,Very Good,G,VS1,60.7,57,7815,6.68,6.72,4.07
0.3,Good,E,VVS2,61.1,61,622,4.32,4.36,2.65
0.32,Ideal,H,VVS2,62.2,54,628,4.42,4.46,2.76
0.4,Ideal,I,VS1,60.9,56,826,4.76,4.8,2.91
1.04,Ideal,H,SI2,62,57,3669,6.53,6.43,4.02
1.01,Premium,E,VS1,62.9,60,7839,6.36,6.32,3.99
0.5,Good,D,VS2,63.3,54,1635,5.04,5.07,3.2
0.32,Ideal,J,VS2,62.3,55.3,413,4.36,4.37,2.72
0.71,Very Good,E,SI1,63.2,57,2516,5.72,5.67,3.6
0.5,Very Good,E,SI1,63.5,61,1374,5.03,4.98,3.18
0.75,Ideal,D,SI2,61.5,55,2618,5.85,5.89,3.61
0.4,Good,E,SI1,63.9,58,687,4.63,4.67,2.97
1.52,Premium,G,VS1,61.2,60,14293,7.37,7.4,4.52
1.08,Ideal,F,SI2,61.3,55,5164,6.59,6.62,4.05
